,id,dm-0,dm-1,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,dm-8,dm-9,dm-10,dt-0,dt-1,dt-2,dt-3,dt-4,dt-5,dt-6,dt-7,dt-8,dt-9,dt-10,dt-11,dt-12,dt-13,dt-14,dt-15,dt-16,dt-17,dt-18,dt-19,dt-20,dt-21,dt-22,tag
3679,CSS1104021550454132704,12,11,9,18,43,40,33,25,19,20,0,0,0,0,1,2,2,1,0,0,0,0,1,1,3,3,8,5,3,3,32,32,72,63,1
3680,CSS1104021550424114003,48,33,28,46,42,11,5,7,3,7,0,0,0,0,1,2,1,1,0,0,0,1,1,1,3,3,7,5,3,4,31,32,70,66,5
3681,CSS1104010180674132878,23,23,21,41,73,33,10,3,1,1,0,0,0,0,1,2,2,1,0,1,1,0,1,2,4,4,8,5,3,1,42,34,74,49,2
3682,CSS1104010150534111525,26,23,23,35,60,39,19,4,1,0,0,0,0,0,1,2,2,1,0,0,1,1,1,2,3,4,7,4,2,2,43,37,84,39,0
3683,CSS1104010010604125847,26,25,23,40,71,34,7,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,3,5,4,3,4,36,32,75,61,0
3684,CSS1103301460484119712,27,26,26,42,66,28,8,2,1,3,1,0,0,0,1,2,1,1,1,0,0,1,1,1,2,3,6,5,3,3,33,28,72,70,5
3685,CSS1103301320594118165,23,22,22,41,74,34,11,2,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,3,3,6,4,3,3,35,31,73,67,0
3686,CSS1103301210794125313,35,30,27,46,54,19,11,5,2,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,3,3,5,4,2,5,35,32,75,62,5
3687,CSS1103301150814122387,25,25,24,43,74,30,7,2,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,3,6,4,2,3,34,30,73,68,0
3688,CSS1103300040624122348,37,35,31,46,56,19,4,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,3,6,4,3,4,36,31,71,65,0
3689,CSS1103290230684131567,28,27,22,45,76,27,3,0,0,0,0,0,0,0,1,3,2,1,0,0,0,1,1,1,4,5,7,2,0,0,43,36,79,44,1
3690,CSS1103290090894121721,19,17,17,34,68,43,22,7,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,4,3,6,4,2,4,31,30,78,61,8
3691,CSS1103281350724109732,42,40,35,53,46,8,3,2,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,2,3,5,4,3,6,32,31,68,70,0
