,id,dm-0,dm-1,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,dm-8,dm-9,dm-10,dt-0,dt-1,dt-2,dt-3,dt-4,dt-5,dt-6,dt-7,dt-8,dt-9,dt-10,dt-11,dt-12,dt-13,dt-14,dt-15,dt-16,dt-17,dt-18,dt-19,dt-20,dt-21,dt-22,tag
3451,CSS1010081150014101355,47,39,30,34,34,16,14,9,2,5,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,5,3,3,4,33,29,70,72,5
3452,CSS1010070120124133169,14,13,13,24,52,41,33,24,12,3,0,0,0,0,1,2,1,1,0,0,0,1,1,2,3,3,7,3,1,1,36,32,73,65,1
3453,CSS1010070120014131116,31,30,26,42,48,17,9,3,1,8,15,0,0,0,1,2,1,1,1,1,0,0,1,2,3,4,7,2,1,0,35,31,71,68,2
3454,CSS1010070070134135189,60,49,37,44,30,6,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,2,3,6,4,2,2,36,32,73,65,6
3455,CSS1010031070194113030,44,38,31,47,45,8,6,5,4,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,6,4,3,3,35,31,76,63,5
3456,CSS1010030010154103863,20,19,18,33,67,44,20,5,2,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,3,6,4,2,2,34,32,75,65,1
3457,CSS1009301150144112871,28,27,25,43,67,29,9,2,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,3,2,5,4,3,6,35,30,77,61,5
3458,CSS1009301041244110121,39,34,27,37,41,17,13,12,5,3,2,0,0,0,1,1,1,1,0,1,1,1,1,1,2,2,4,4,4,8,35,30,73,65,5
3459,CSS1009161290084131880,43,36,30,34,19,3,2,18,22,22,0,0,0,0,1,2,1,1,0,0,0,1,1,2,4,4,7,5,4,7,44,26,34,91,2
3460,CSS1009161090214101803,42,38,32,45,45,15,5,2,2,4,1,0,0,0,1,1,1,1,1,1,0,1,1,1,3,2,6,4,3,3,35,29,70,71,5
3461,CSS1009161040164122231,59,50,37,41,35,5,1,2,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,3,3,6,4,3,2,34,32,76,63,6
3462,CSS1009160180054126884,70,53,32,27,30,10,6,1,1,0,0,0,0,0,1,2,2,1,0,0,0,1,1,2,3,4,7,3,1,1,35,26,81,62,5
3463,CSS1009160150044112016,51,35,19,14,7,1,0,0,2,100,0,0,0,0,1,2,1,1,0,0,0,0,1,2,3,4,6,3,1,1,36,32,75,64,5
3464,CSS1009160011174125237,47,43,35,44,34,12,7,3,1,5,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,2,4,3,3,10,33,30,70,68,2
3465,CSS1009151090134116882,16,15,15,28,60,45,27,14,6,4,0,0,0,0,1,1,1,1,1,0,1,1,1,1,2,3,6,4,3,4,36,28,76,64,1
3466,CSS1009121011214116857,47,42,35,47,40,9,4,3,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,4,4,3,8,34,28,70,70,5
3467,CSS1009111150134118640,37,35,31,48,55,16,5,2,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,7,5,4,7,44,36,81,39,2
3468,CSS1009111040054133182,47,41,33,43,48,14,3,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,2,2,5,4,3,6,33,31,73,66,5
3469,CSS1009110181044182649,34,31,28,46,56,17,10,6,2,1,0,0,0,0,1,2,2,1,0,0,1,1,0,1,4,2,4,2,5,11,26,24,70,74,2
3470,CSS1009110041254104463,31,30,28,46,62,19,6,4,3,2,1,0,0,0,1,1,1,1,0,0,0,1,1,1,2,2,5,4,3,8,33,29,74,66,5
3471,CSS1009110011274140658,39,35,32,49,50,13,3,2,4,3,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,2,4,4,3,7,35,31,68,69,2
3472,CSS1009101320014148188,25,24,21,35,44,15,10,7,5,32,11,0,0,0,1,1,1,1,0,1,1,1,1,1,2,3,5,3,3,5,31,30,66,74,2
